tech,zone,commission_year,unit,capacity
U20_b1a,bus1,2020,MW,20.0
U20_b1b,bus1,2020,MW,20.0
U76_b1a,bus1,2020,MW,76.0
U76_b1b,bus1,2020,MW,76.0
U20_b2a,bus2,2020,MW,20.0
U20_b2b,bus2,2020,MW,20.0
U76_b2a,bus2,2020,MW,76.0
U76_b2b,bus2,2020,MW,76.0
U100_b7a,bus7,2020,MW,100.0
U100_b7b,bus7,2020,MW,100.0
U100_b7c,bus7,2020,MW,100.0
U197_b13a,bus13,2020,MW,197.0
U197_b13b,bus13,2020,MW,197.0
U197_b13c,bus13,2020,MW,197.0
U12_b15a,bus15,2020,MW,12.0
U12_b15b,bus15,2020,MW,12.0
U12_b15c,bus15,2020,MW,12.0
U12_b15d,bus15,2020,MW,12.0
U12_b15e,bus15,2020,MW,12.0
U155_b15,bus15,2020,MW,155.0
U155_b16,bus16,2020,MW,155.0
U400_b18,bus18,2020,MW,400.0
U400_b21,bus21,2020,MW,400.0
U50_b22a,bus22,2020,MW,50.0
U50_b22b,bus22,2020,MW,50.0
U50_b22c,bus22,2020,MW,50.0
U50_b22d,bus22,2020,MW,50.0
U50_b22e,bus22,2020,MW,50.0
U50_b22f,bus22,2020,MW,50.0
U155_b23a,bus23,2020,MW,155.0
U155_b23b,bus23,2020,MW,155.0
U350_b23,bus23,2020,MW,350.0
