tech,name,carrier,is_storage
U20_b1a,U20_b1a,oil,False
U20_b1b,U20_b1b,oil,False
U76_b1a,U76_b1a,coal,False
U76_b1b,U76_b1b,coal,False
U20_b2a,U20_b2a,oil,False
U20_b2b,U20_b2b,oil,False
U76_b2a,U76_b2a,coal,False
U76_b2b,U76_b2b,coal,False
U100_b7a,U100_b7a,oil,False
U100_b7b,U100_b7b,oil,False
U100_b7c,U100_b7c,oil,False
U197_b13a,U197_b13a,oil,False
U197_b13b,U197_b13b,oil,False
U197_b13c,U197_b13c,oil,False
U12_b15a,U12_b15a,oil,False
U12_b15b,U12_b15b,oil,False
U12_b15c,U12_b15c,oil,False
U12_b15d,U12_b15d,oil,False
U12_b15e,U12_b15e,oil,False
U155_b15,U155_b15,coal,False
U155_b16,U155_b16,coal,False
U400_b18,U400_b18,nuclear,False
U400_b21,U400_b21,nuclear,False
U50_b22a,U50_b22a,hydro,False
U50_b22b,U50_b22b,hydro,False
U50_b22c,U50_b22c,hydro,False
U50_b22d,U50_b22d,hydro,False
U50_b22e,U50_b22e,hydro,False
U50_b22f,U50_b22f,hydro,False
U155_b23a,U155_b23a,coal,False
U155_b23b,U155_b23b,coal,False
U350_b23,U350_b23,coal,False
