zone,tech,year,capacity
bus1,U20_b1a,2020,20.0
bus1,U20_b1b,2020,20.0
bus1,U76_b1a,2020,76.0
bus1,U76_b1b,2020,76.0
bus2,U20_b2a,2020,20.0
bus2,U20_b2b,2020,20.0
bus2,U76_b2a,2020,76.0
bus2,U76_b2b,2020,76.0
bus7,U100_b7a,2020,100.0
bus7,U100_b7b,2020,100.0
bus7,U100_b7c,2020,100.0
bus13,U197_b13a,2020,197.0
bus13,U197_b13b,2020,197.0
bus13,U197_b13c,2020,197.0
bus15,U12_b15a,2020,12.0
bus15,U12_b15b,2020,12.0
bus15,U12_b15c,2020,12.0
bus15,U12_b15d,2020,12.0
bus15,U12_b15e,2020,12.0
bus15,U155_b15,2020,155.0
bus16,U155_b16,2020,155.0
bus18,U400_b18,2020,400.0
bus21,U400_b21,2020,400.0
bus22,U50_b22a,2020,50.0
bus22,U50_b22b,2020,50.0
bus22,U50_b22c,2020,50.0
bus22,U50_b22d,2020,50.0
bus22,U50_b22e,2020,50.0
bus22,U50_b22f,2020,50.0
bus23,U155_b23a,2020,155.0
bus23,U155_b23b,2020,155.0
bus23,U350_b23,2020,350.0
