zone1,zone2,unit,value
bus1,bus2,km,1.0
bus2,bus1,km,1.0
bus1,bus3,km,1.0
bus3,bus1,km,1.0
bus1,bus5,km,1.0
bus5,bus1,km,1.0
bus2,bus4,km,1.0
bus4,bus2,km,1.0
bus2,bus6,km,1.0
bus6,bus2,km,1.0
bus3,bus9,km,1.0
bus9,bus3,km,1.0
bus3,bus24,km,1.0
bus24,bus3,km,1.0
bus4,bus9,km,1.0
bus9,bus4,km,1.0
bus5,bus10,km,1.0
bus10,bus5,km,1.0
bus6,bus10,km,1.0
bus10,bus6,km,1.0
bus7,bus8,km,1.0
bus8,bus7,km,1.0
bus8,bus9,km,1.0
bus9,bus8,km,1.0
bus8,bus10,km,1.0
bus10,bus8,km,1.0
bus9,bus11,km,1.0
bus11,bus9,km,1.0
bus9,bus12,km,1.0
bus12,bus9,km,1.0
bus10,bus11,km,1.0
bus11,bus10,km,1.0
bus10,bus12,km,1.0
bus12,bus10,km,1.0
bus11,bus13,km,1.0
bus13,bus11,km,1.0
bus11,bus14,km,1.0
bus14,bus11,km,1.0
bus12,bus13,km,1.0
bus13,bus12,km,1.0
bus12,bus23,km,1.0
bus23,bus12,km,1.0
bus13,bus23,km,1.0
bus23,bus13,km,1.0
bus14,bus16,km,1.0
bus16,bus14,km,1.0
bus15,bus16,km,1.0
bus16,bus15,km,1.0
bus15,bus21,km,1.0
bus21,bus15,km,1.0
bus15,bus24,km,1.0
bus24,bus15,km,1.0
bus16,bus17,km,1.0
bus17,bus16,km,1.0
bus16,bus19,km,1.0
bus19,bus16,km,1.0
bus17,bus18,km,1.0
bus18,bus17,km,1.0
bus17,bus22,km,1.0
bus22,bus17,km,1.0
bus18,bus21,km,1.0
bus21,bus18,km,1.0
bus19,bus20,km,1.0
bus20,bus19,km,1.0
bus20,bus23,km,1.0
bus23,bus20,km,1.0
bus21,bus22,km,1.0
bus22,bus21,km,1.0
