zone1,zone2,unit,value
bus1,bus2,MW/rad,7194.244604316547
bus1,bus3,MW/rad,473.48484848484856
bus1,bus5,MW/rad,1183.4319526627219
bus2,bus4,MW/rad,789.2659826361484
bus2,bus6,MW/rad,520.8333333333333
bus3,bus9,MW/rad,840.3361344537816
bus3,bus24,MW/rad,1191.8951132300358
bus4,bus9,MW/rad,964.3201542912246
bus5,bus10,MW/rad,1132.5028312570782
bus6,bus10,MW/rad,1652.8925619834713
bus7,bus8,MW/rad,1628.6644951140065
bus8,bus9,MW/rad,605.6935190793458
bus8,bus10,MW/rad,605.6935190793458
bus9,bus11,MW/rad,1191.8951132300358
bus9,bus12,MW/rad,1191.8951132300358
bus10,bus11,MW/rad,1191.8951132300358
bus10,bus12,MW/rad,1191.8951132300358
bus11,bus13,MW/rad,2100.840336134454
bus11,bus14,MW/rad,2392.3444976076557
bus12,bus13,MW/rad,2100.840336134454
bus12,bus23,MW/rad,1035.1966873706006
bus13,bus23,MW/rad,1156.0693641618498
bus14,bus16,MW/rad,2570.6940874035995
bus15,bus16,MW/rad,5780.346820809249
bus15,bus21,MW/rad,4081.6326530612246
bus15,bus24,MW/rad,1926.7822736030826
bus16,bus17,MW/rad,3861.003861003861
bus16,bus19,MW/rad,4329.0043290043295
bus17,bus18,MW/rad,6944.444444444444
bus17,bus22,MW/rad,949.667616334283
bus18,bus21,MW/rad,7722.007722007722
bus19,bus20,MW/rad,5050.505050505049
bus20,bus23,MW/rad,9259.259259259257
bus21,bus22,MW/rad,1474.9262536873157
