zone,year,unit,value
bus101,2020,fraction,0.05
bus102,2020,fraction,0.05
bus103,2020,fraction,0.05
bus104,2020,fraction,0.05
bus105,2020,fraction,0.05
bus106,2020,fraction,0.05
bus107,2020,fraction,0.05
bus108,2020,fraction,0.05
bus109,2020,fraction,0.05
bus110,2020,fraction,0.05
bus111,2020,fraction,0.05
bus112,2020,fraction,0.05
bus113,2020,fraction,0.05
bus114,2020,fraction,0.05
bus115,2020,fraction,0.05
bus116,2020,fraction,0.05
bus117,2020,fraction,0.05
bus118,2020,fraction,0.05
bus119,2020,fraction,0.05
bus120,2020,fraction,0.05
bus121,2020,fraction,0.05
bus122,2020,fraction,0.05
bus123,2020,fraction,0.05
bus124,2020,fraction,0.05
bus201,2020,fraction,0.05
bus202,2020,fraction,0.05
bus203,2020,fraction,0.05
bus204,2020,fraction,0.05
bus205,2020,fraction,0.05
bus206,2020,fraction,0.05
bus207,2020,fraction,0.05
bus208,2020,fraction,0.05
bus209,2020,fraction,0.05
bus210,2020,fraction,0.05
bus211,2020,fraction,0.05
bus212,2020,fraction,0.05
bus213,2020,fraction,0.05
bus214,2020,fraction,0.05
bus215,2020,fraction,0.05
bus216,2020,fraction,0.05
bus217,2020,fraction,0.05
bus218,2020,fraction,0.05
bus219,2020,fraction,0.05
bus220,2020,fraction,0.05
bus221,2020,fraction,0.05
bus222,2020,fraction,0.05
bus223,2020,fraction,0.05
bus224,2020,fraction,0.05
bus301,2020,fraction,0.05
bus302,2020,fraction,0.05
bus303,2020,fraction,0.05
bus304,2020,fraction,0.05
bus305,2020,fraction,0.05
bus306,2020,fraction,0.05
bus307,2020,fraction,0.05
bus308,2020,fraction,0.05
bus309,2020,fraction,0.05
bus310,2020,fraction,0.05
bus311,2020,fraction,0.05
bus312,2020,fraction,0.05
bus313,2020,fraction,0.05
bus314,2020,fraction,0.05
bus315,2020,fraction,0.05
bus316,2020,fraction,0.05
bus317,2020,fraction,0.05
bus318,2020,fraction,0.05
bus319,2020,fraction,0.05
bus320,2020,fraction,0.05
bus321,2020,fraction,0.05
bus322,2020,fraction,0.05
bus323,2020,fraction,0.05
bus324,2020,fraction,0.05
bus325,2020,fraction,0.05
