station_id,year,month,unit,value
218,1,1,m3,0.0
218,1,2,m3,0.0
218,1,3,m3,0.0
218,1,4,m3,0.0
218,1,5,m3,0.0
218,1,6,m3,0.0
218,1,7,m3,0.0
218,1,8,m3,0.0
218,1,9,m3,0.0
218,1,10,m3,0.0
218,1,11,m3,0.0
218,1,12,m3,0.0
218,1,13,m3,0.0
218,1,14,m3,0.0
218,1,15,m3,0.0
218,1,16,m3,0.0
218,1,17,m3,0.0
218,1,18,m3,0.0
218,1,19,m3,0.0
218,1,20,m3,0.0
218,1,21,m3,0.0
218,1,22,m3,0.0
218,1,23,m3,0.0
218,1,24,m3,0.0
218,1,25,m3,0.0
218,1,26,m3,0.0
218,1,27,m3,0.0
218,1,28,m3,0.0
218,1,29,m3,0.0
218,1,30,m3,0.0
218,1,31,m3,0.0
218,1,32,m3,0.0
218,1,33,m3,0.0
218,1,34,m3,0.0
218,1,35,m3,0.0
218,1,36,m3,0.0
218,1,37,m3,0.0
218,1,38,m3,0.0
218,1,39,m3,0.0
218,1,40,m3,0.0
218,1,41,m3,0.0
218,1,42,m3,0.0
218,1,43,m3,0.0
218,1,44,m3,0.0
218,1,45,m3,0.0
218,1,46,m3,0.0
218,1,47,m3,0.0
218,1,48,m3,0.0
218,1,49,m3,0.0
218,1,50,m3,0.0
218,1,51,m3,0.0
218,1,52,m3,0.0
218,1,53,m3,0.0
218,1,54,m3,0.0
218,1,55,m3,0.0
218,1,56,m3,0.0
218,1,57,m3,0.0
218,1,58,m3,0.0
218,1,59,m3,0.0
218,1,60,m3,0.0
218,1,61,m3,0.0
218,1,62,m3,0.0
218,1,63,m3,0.0
218,1,64,m3,0.0
218,1,65,m3,0.0
218,1,66,m3,0.0
218,1,67,m3,0.0
218,1,68,m3,0.0
218,1,69,m3,0.0
218,1,70,m3,0.0
218,1,71,m3,0.0
218,1,72,m3,0.0
218,1,73,m3,0.0
218,1,74,m3,0.0
218,1,75,m3,0.0
218,1,76,m3,0.0
218,1,77,m3,0.0
218,1,78,m3,0.0
218,1,79,m3,0.0
218,1,80,m3,0.0
218,1,81,m3,0.0
218,1,82,m3,0.0
218,1,83,m3,0.0
218,1,84,m3,0.0
218,1,85,m3,0.0
218,1,86,m3,0.0
218,1,87,m3,0.0
218,1,88,m3,0.0
218,1,89,m3,0.0
218,1,90,m3,0.0
218,1,91,m3,0.0
218,1,92,m3,0.0
218,1,93,m3,0.0
218,1,94,m3,0.0
218,1,95,m3,0.0
218,1,96,m3,0.0
218,1,97,m3,0.0
218,1,98,m3,0.0
218,1,99,m3,0.0
218,1,100,m3,0.0
218,1,101,m3,0.0
218,1,102,m3,0.0
218,1,103,m3,0.0
218,1,104,m3,0.0
218,1,105,m3,0.0
218,1,106,m3,0.0
218,1,107,m3,0.0
218,1,108,m3,0.0
218,1,109,m3,0.0
218,1,110,m3,0.0
218,1,111,m3,0.0
218,1,112,m3,0.0
218,1,113,m3,0.0
218,1,114,m3,0.0
218,1,115,m3,0.0
218,1,116,m3,0.0
218,1,117,m3,0.0
218,1,118,m3,0.0
218,1,119,m3,0.0
218,1,120,m3,0.0
218,1,121,m3,0.0
218,1,122,m3,0.0
218,1,123,m3,0.0
218,1,124,m3,0.0
218,1,125,m3,0.0
218,1,126,m3,0.0
218,1,127,m3,0.0
218,1,128,m3,0.0
218,1,129,m3,0.0
218,1,130,m3,0.0
218,1,131,m3,0.0
218,1,132,m3,0.0
218,1,133,m3,0.0
218,1,134,m3,0.0
218,1,135,m3,0.0
218,1,136,m3,0.0
218,1,137,m3,0.0
218,1,138,m3,0.0
218,1,139,m3,0.0
218,1,140,m3,0.0
218,1,141,m3,0.0
218,1,142,m3,0.0
218,1,143,m3,0.0
218,1,144,m3,0.0
218,1,145,m3,0.0
218,1,146,m3,0.0
218,1,147,m3,0.0
218,1,148,m3,0.0
218,1,149,m3,0.0
218,1,150,m3,0.0
218,1,151,m3,0.0
218,1,152,m3,0.0
218,1,153,m3,0.0
218,1,154,m3,0.0
218,1,155,m3,0.0
218,1,156,m3,0.0
218,1,157,m3,0.0
218,1,158,m3,0.0
218,1,159,m3,0.0
218,1,160,m3,0.0
218,1,161,m3,0.0
218,1,162,m3,0.0
218,1,163,m3,0.0
218,1,164,m3,0.0
218,1,165,m3,0.0
218,1,166,m3,0.0
218,1,167,m3,0.0
218,1,168,m3,0.0
218,1,169,m3,0.0
218,1,170,m3,0.0
218,1,171,m3,0.0
218,1,172,m3,0.0
218,1,173,m3,0.0
218,1,174,m3,0.0
218,1,175,m3,0.0
218,1,176,m3,0.0
218,1,177,m3,0.0
218,1,178,m3,0.0
218,1,179,m3,0.0
218,1,180,m3,0.0
218,1,181,m3,0.0
218,1,182,m3,0.0
218,1,183,m3,0.0
218,1,184,m3,0.0
218,1,185,m3,0.0
218,1,186,m3,0.0
218,1,187,m3,0.0
218,1,188,m3,0.0
218,1,189,m3,0.0
218,1,190,m3,0.0
218,1,191,m3,0.0
218,1,192,m3,0.0
218,1,193,m3,0.0
218,1,194,m3,0.0
218,1,195,m3,0.0
218,1,196,m3,0.0
218,1,197,m3,0.0
218,1,198,m3,0.0
218,1,199,m3,0.0
218,1,200,m3,0.0
218,1,201,m3,0.0
218,1,202,m3,0.0
218,1,203,m3,0.0
218,1,204,m3,0.0
218,1,205,m3,0.0
218,1,206,m3,0.0
218,1,207,m3,0.0
218,1,208,m3,0.0
218,1,209,m3,0.0
218,1,210,m3,0.0
218,1,211,m3,0.0
218,1,212,m3,0.0
218,1,213,m3,0.0
218,1,214,m3,0.0
218,1,215,m3,0.0
218,1,216,m3,0.0
218,1,217,m3,0.0
218,1,218,m3,0.0
218,1,219,m3,0.0
218,1,220,m3,0.0
218,1,221,m3,0.0
218,1,222,m3,0.0
218,1,223,m3,0.0
218,1,224,m3,0.0
218,1,225,m3,0.0
218,1,226,m3,0.0
218,1,227,m3,0.0
218,1,228,m3,0.0
218,1,229,m3,0.0
218,1,230,m3,0.0
218,1,231,m3,0.0
218,1,232,m3,0.0
218,1,233,m3,0.0
218,1,234,m3,0.0
218,1,235,m3,0.0
218,1,236,m3,0.0
218,1,237,m3,0.0
218,1,238,m3,0.0
218,1,239,m3,0.0
218,1,240,m3,0.0
218,1,241,m3,0.0
218,1,242,m3,0.0
218,1,243,m3,0.0
218,1,244,m3,0.0
218,1,245,m3,0.0
218,1,246,m3,0.0
218,1,247,m3,0.0
218,1,248,m3,0.0
218,1,249,m3,0.0
218,1,250,m3,0.0
218,1,251,m3,0.0
218,1,252,m3,0.0
218,1,253,m3,0.0
218,1,254,m3,0.0
218,1,255,m3,0.0
218,1,256,m3,0.0
218,1,257,m3,0.0
218,1,258,m3,0.0
218,1,259,m3,0.0
218,1,260,m3,0.0
218,1,261,m3,0.0
218,1,262,m3,0.0
218,1,263,m3,0.0
218,1,264,m3,0.0
218,1,265,m3,0.0
218,1,266,m3,0.0
218,1,267,m3,0.0
218,1,268,m3,0.0
218,1,269,m3,0.0
218,1,270,m3,0.0
218,1,271,m3,0.0
218,1,272,m3,0.0
218,1,273,m3,0.0
218,1,274,m3,0.0
218,1,275,m3,0.0
218,1,276,m3,0.0
218,1,277,m3,0.0
218,1,278,m3,0.0
218,1,279,m3,0.0
218,1,280,m3,0.0
218,1,281,m3,0.0
218,1,282,m3,0.0
218,1,283,m3,0.0
